Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
107,orig_lobbyregister_2022-09-07_#0014293,lobbyregister_client,lobbyregister,2022-09-07,Association for Financial Markets in Europe,Association for Financial Markets in Europe,norm_lobbyregister_eintrag_2022-09-19_#0001777,
108,orig_lobbyregister_2022-06-20_#0014294,lobbyregister_client,lobbyregister,2022-06-20,AstraZeneca GmbH,AstraZeneca GmbH,norm_a_watch_organisation_2022-09-19_#0001805,
109,orig_lobbyregister_2022-08-15_#0014295,lobbyregister_client,lobbyregister,2022-08-15,ATOS,ATOS,norm_lobbyregister_eintrag_2022-09-19_#0001849,
110,orig_lobbyregister_2022-06-21_#0014296,lobbyregister_client,lobbyregister,2022-06-21,Atos Information Technology GmbH,Atos Information Technology GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001850,
111,orig_lobbyregister_2022-07-25_#0014297,lobbyregister_client,lobbyregister,2022-07-25,Atriva Therapeutics GmbH,Atriva Therapeutics GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001851,
112,orig_lobbyregister_2022-09-07_#0014298,lobbyregister_client,lobbyregister,2022-09-07,AUDI AG,AUDI AG,norm_lobbyregister_eintrag_2022-09-19_#0001863,
113,orig_lobbyregister_2022-04-14_#0014299,lobbyregister_client,lobbyregister,2022-04-14,AÜG Netzwerk Human Resources GmbH,AÜG Netzwerk Human Resources GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001872,
114,orig_lobbyregister_2022-02-28_#0014300,lobbyregister_client,lobbyregister,2022-02-28,Aurubis AG,Aurubis AG,norm_lobbyregister_eintrag_2022-09-19_#0001886,
115,orig_lobbyregister_2022-06-28_#0014301,lobbyregister_client,lobbyregister,2022-06-28,Autobahn Tank & Rast GmbH,Autobahn Tank & Rast GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001968,
116,orig_lobbyregister_2022-09-01_#0014302,lobbyregister_client,lobbyregister,2022-09-01,Autobahn Tank & Rast Gruppe GmbH & Co. KG,Autobahn Tank & Rast Gruppe GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0001969,
117,orig_lobbyregister_2022-08-15_#0014303,lobbyregister_client,lobbyregister,2022-08-15,AUTODESK GmbH,AUTODESK GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001970,
118,orig_lobbyregister_2022-04-26_#0014304,lobbyregister_client,lobbyregister,2022-04-26,automotiveland.nrw,automotiveland.nrw,norm_lobbyregister_eintrag_2022-09-19_#0001990,
119,orig_lobbyregister_2022-06-02_#0014305,lobbyregister_client,lobbyregister,2022-06-02,Avacon Netz GmbH,Avacon Netz GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002000,
120,orig_lobbyregister_2022-07-07_#0014306,lobbyregister_client,lobbyregister,2022-07-07,Avacon Netz Gmbh,Avacon Netz Gmbh,norm_lobbyregister_eintrag_2022-09-19_#0002001,
121,orig_lobbyregister_2022-08-31_#0014307,lobbyregister_client,lobbyregister,2022-08-31,AVAT Automation GmbH,AVAT Automation GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002007,
122,orig_lobbyregister_2022-09-15_#0014308,lobbyregister_client,lobbyregister,2022-09-15,AviAlliance,AviAlliance,norm_lobbyregister_eintrag_2022-09-19_#0002014,
123,orig_lobbyregister_2022-08-25_#0014309,lobbyregister_client,lobbyregister,2022-08-25,Avi Medical Operations,Avi Medical Operations,norm_lobbyregister_eintrag_2022-09-19_#0002019,
124,orig_lobbyregister_2022-06-30_#0014310,lobbyregister_client,lobbyregister,2022-06-30,Avisa Partners,Avisa Partners,norm_lobbyregister_eintrag_2022-09-19_#0002020,
125,orig_lobbyregister_2022-09-16_#0014311,lobbyregister_client,lobbyregister,2022-09-16,Avis Budget Autovermietung GmbH & Co KG,Avis Budget Autovermietung GmbH & Co KG,norm_lobbyregister_eintrag_2022-09-19_#0002022,
126,orig_lobbyregister_2022-06-15_#0014312,lobbyregister_client,lobbyregister,2022-06-15,Axon Public Safety Germany SE,Axon Public Safety Germany SE,norm_lobbyregister_eintrag_2022-09-19_#0002090,
127,orig_lobbyregister_2022-06-02_#0014313,lobbyregister_client,lobbyregister,2022-06-02,Axpo Deutschland GmbH,Axpo Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002091,
128,orig_lobbyregister_2022-09-15_#0014314,lobbyregister_client,lobbyregister,2022-09-15,Axpo Holding AG,Axpo Holding AG,norm_lobbyregister_eintrag_2022-09-19_#0002092,
129,orig_lobbyregister_2022-03-03_#0014315,lobbyregister_client,lobbyregister,2022-03-03,B. Braun SE,B. Braun SE,norm_lobbyregister_eintrag_2022-09-19_#0002112,
130,orig_lobbyregister_2022-07-18_#0014316,lobbyregister_client,lobbyregister,2022-07-18,Baden-Württembergische Wertpapierbörse GmbH,Baden-Württembergische Wertpapierbörse GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002143,
131,orig_lobbyregister_2022-05-05_#0014317,lobbyregister_client,lobbyregister,2022-05-05,Bank of America Europe DAC,Bank of America Europe DAC,norm_lobbyregister_eintrag_2022-09-19_#0002248,
132,orig_lobbyregister_2022-08-16_#0014318,lobbyregister_client,lobbyregister,2022-08-16,Bauerfeind AG,Bauerfeind AG,norm_lobbypedia_parteispenden_2022-09-19_#0002286,
133,orig_lobbyregister_2022-08-31_#0014319,lobbyregister_client,lobbyregister,2022-08-31,Baur Folien GmbH,Baur Folien GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002344,
134,orig_lobbyregister_2022-07-28_#0014320,lobbyregister_client,lobbyregister,2022-07-28,BavariaDirekt Versicherung Aktiengesellschaft,BavariaDirekt Versicherung Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002359,
135,orig_lobbyregister_2022-09-15_#0014321,lobbyregister_client,lobbyregister,2022-09-15,Bayer AG,Bayer AG,norm_lobbyregister_eintrag_2022-09-19_#0002370,
136,orig_lobbyregister_2022-09-13_#0014322,lobbyregister_client,lobbyregister,2022-09-13,Bayer CropScience Deutschland GmbH,Bayer CropScience Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002371,
137,orig_lobbyregister_2022-07-28_#0014323,lobbyregister_client,lobbyregister,2022-07-28,Bayerische Beamtenkrankenkasse Aktiengesellschaft,Bayerische Beamtenkrankenkasse Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002375,
138,orig_lobbyregister_2022-07-28_#0014324,lobbyregister_client,lobbyregister,2022-07-28,Bayerische Landesbrandversicherung Aktiengesellschaft,Bayerische Landesbrandversicherung Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002384,
