graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-02-03,ABNR e.V. Aktionsbündnis Nichtrauchen,ABNR e.V. Aktionsbündnis Nichtrauchen,norm_lobbyregister_eintrag_2022-09-19_#0000216,
"""""",lobbyregister_membership,lobbyregister,2022-08-17,Abolition 2000,Abolition 2000,norm_lobbyregister_eintrag_2022-09-19_#0000217,
"""""",lobbyregister_membership,lobbyregister,2022-05-18,ABSOLAR - Brazilian Association for Solar PV,ABSOLAR - Brazilian Association for Solar PV,norm_lobbyregister_eintrag_2022-09-19_#0000220,
"""""",lobbyregister_membership,lobbyregister,2022-03-16,Abu Dhabi Chamber,Abu Dhabi Chamber,norm_lobbyregister_eintrag_2022-09-19_#0000221,
"""""",lobbyregister_membership,lobbyregister,2022-06-27,Abwasser und Abfall e.V,Abwasser und Abfall e.V,norm_lobbyregister_eintrag_2022-09-19_#0000224,
"""""",lobbyregister_membership,lobbyregister,2022-06-30,Abwasser und Abfall e.V.,Abwasser und Abfall e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000225,
"""""",lobbyregister_membership,lobbyregister,2022-07-12,Abwasser und Abfall e. V.,Abwasser und Abfall e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000226,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,Abwasser und Abfall e.V. (DVGW),Abwasser und Abfall e.V. (DVGW),norm_lobbyregister_eintrag_2022-09-19_#0000227,
"""""",lobbyregister_membership,lobbyregister,2022-03-15,Abwasser und Abfall e.V. (DWA),Abwasser und Abfall e.V. (DWA),norm_lobbyregister_eintrag_2022-09-19_#0000228,
"""""",lobbyregister_membership,lobbyregister,2022-04-20,Abwasser und Abfall e. V. (DWA),Abwasser und Abfall e. V. (DWA),norm_lobbyregister_eintrag_2022-09-19_#0000229,
"""""",lobbyregister_membership,lobbyregister,2022-06-29,Abwasser und Abfall e.V. Dresden,Abwasser und Abfall e.V. Dresden,norm_lobbyregister_eintrag_2022-09-19_#0000230,
"""""",lobbyregister_membership,lobbyregister,2022-03-03,Abwasser und Abfall e.V. DWA,Abwasser und Abfall e.V. DWA,norm_lobbyregister_eintrag_2022-09-19_#0000231,
"""""",lobbyregister_membership,lobbyregister,2022-03-15,ABW e.V. - Aufbereitung von Baustoffen u. Wiederverwertung e.V. (gegenseitige Mitgliedschaft),ABW e.V. - Aufbereitung von Baustoffen u. Wiederverwertung e.V. (gegenseitige Mitgliedschaft),norm_lobbyregister_eintrag_2022-09-19_#0000233,
"""""",lobbyregister_membership,lobbyregister,2022-07-12,ACA,ACA,norm_lobbyregister_eintrag_2022-09-19_#0000234,
"""""",lobbyregister_membership,lobbyregister,2022-08-30,Academia Europaea,Academia Europaea,norm_lobbyregister_eintrag_2022-09-19_#0000235,
"""""",lobbyregister_membership,lobbyregister,2022-07-25,ACAM- Aachen Center Additve Manufacturing,ACAM- Aachen Center Additve Manufacturing,norm_lobbyregister_eintrag_2022-09-19_#0000236,
"""""",lobbyregister_membership,lobbyregister,2022-02-28,Acatech,Acatech,norm_lobbyregister_eintrag_2022-09-19_#0000237,
"""""",lobbyregister_membership,lobbyregister,2022-07-01,Acatech- Akademie der Technikwissenschaften,Acatech- Akademie der Technikwissenschaften,norm_lobbyregister_eintrag_2022-09-19_#0000238,
"""""",lobbyregister_membership,lobbyregister,2022-02-25,Acatech Akademie der Technikwissenschaften e.V.,Acatech Akademie der Technikwissenschaften e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000239,
