graph_id,aufb_bezeichnung,aufb_quelle,aufb_datum
"""""",Adecco Germany Holding,lobbyregister_eintrag,2022-09-19
"""""",adfc Bochum e. V,lobbyregister_eintrag,2022-09-19
"""""",ADH,lobbyregister_eintrag,2022-09-19
"""""","ADIB Agrar-, Dienstleistungs-, Industrie- und Baugesellschaft mbH",lobbypedia_parteispenden,2022-09-19
"""""",adidas AG,lobbyregister_eintrag,2022-09-19
"""""",AdipositasHilfe Deutschland e.V.,lobbyregister_eintrag,2022-09-19
"""""",Adivasi Koordination in Deutschland e.V.,lobbyregister_eintrag,2022-09-19
"""""",ADKV. Arbeitsgemeinschaft Deutscher Kunstvereine e.V.,lobbyregister_eintrag,2022-09-19
"""""",Adlerkreis,lobbyregister_eintrag,2022-09-19
"""""",Adlerkreis (Persönliche Mitgliedschaft des Leiters des Bereichs External Affairs im Rahmen der Unternehmensfunktion),lobbyregister_eintrag,2022-09-19
"""""",Adler-Schiffe GmbH & Co. KG,lobbypedia_parteispenden,2022-09-19
"""""",ADLER Versicherung AG,a_watch_organisation,2022-09-19
"""""",ADM Arbeitskreis Deutscher Markt- und Sozialforschungsinstitute e.V..,lobbyregister_eintrag,2022-09-19
"""""",admedicum GmbH & Co KG,lobbyregister_eintrag,2022-09-19
"""""",Adobe Systems GmbH,lobbyregister_eintrag,2022-09-19
"""""",Adolf Ahlers AG,lobbypedia_parteispenden,2022-09-19
"""""",Adolf Präg GmbH & Co. KG,lobbypedia_parteispenden,2022-09-19
"""""",Adolf Würth GmbH & Co. KG,lobbypedia_parteispenden,2022-09-19
"""""",Adolf Würth GmbH & Co KG,lobbypedia_parteispenden,2022-09-19
"""""",Adolph und Heidt GbR,a_watch_organisation,2022-09-19
"""""",Adp Gauselmann GmbH,lobbypedia_parteispenden,2022-09-19
"""""",adp Merkur GmbH,lobbyregister_eintrag,2022-09-19
"""""",ADRA Deutschland e.V.,lobbyregister_eintrag,2022-09-19
"""""",Adriane Beck & Partner GmbH,a_watch_organisation,2022-09-19
"""""",ADS-Grenzfriedensbund e. V.,a_watch_organisation,2022-09-19
"""""",ADT,lobbyregister_eintrag,2022-09-19
"""""",ADT - Arbeitsgemeinschaft Deutscher Tierzüchter e.V.,lobbyregister_eintrag,2022-09-19
"""""",ADV,lobbyregister_eintrag,2022-09-19
"""""",ADV (Arbeitsgemeinschaft Deutscher Verkehrsflughäfen),lobbyregister_eintrag,2022-09-19
"""""",Advanced Accelerator Applications Germany GmbH,lobbyregister_eintrag,2022-09-19
"""""",ADV Berlin,lobbyregister_eintrag,2022-09-19
"""""",Adveo Deutschland GmbH,a_watch_organisation,2022-09-19
"""""",ADVERB - Agentur für Verbandskommunikation,lobbyregister_eintrag,2022-09-19
"""""","ADVERMA, Advertising & Marketing GmbH",lobbypedia_parteispenden,2022-09-19
"""""",Advertising Information Group (AIG),lobbyregister_eintrag,2022-09-19
"""""","AdV-Geschäftsstelle Arbeitsgemeinschaft der Vermessungsverwaltungen der Länder der BRD c/o Landesamt für Digitalisierung, Breitband und Vermessung, München",lobbyregister_eintrag,2022-09-19
"""""",Advicepartners GmbH,lobbyregister_eintrag,2022-09-19
"""""",Advisory Board Tübingen School of Education,lobbyregister_eintrag,2022-09-19
"""""",Aebi Schmidt Holding AG,a_watch_organisation,2022-09-19
"""""",AECC,lobbyregister_eintrag,2022-09-19
"""""",AECM,lobbyregister_eintrag,2022-09-19
"""""",Aedive,lobbyregister_eintrag,2022-09-19
"""""",AEEC Associated European Energy Consultants e. V.,lobbyregister_eintrag,2022-09-19
"""""",aef Agrar- und Ernährungsforum Oldenburger Münsterland e. V.,lobbyregister_eintrag,2022-09-19
